Database,Publisher,User_Activity,2013 S2 (Summer),2013 S3 (Fall),2014 S1 (Spring),2014 S2 (Summer),2014 S3 (Fall),2015 S1 (Spring),2015 S2 (Summer),2015 S3 (Fall),2016 S1 (Spring),2016 S2 (Summer),2016 S3 (Fall),2017 S1 (Spring)
"Nursing Education in Video, 2013",Alexander Street Press,Result Clicks,0,0,0,1,12,7,2,0,0,0,0,NA
"Nursing Education in Video, 2013",Alexander Street Press,Searches-federated and automated,0,0,0,0,0,0,0,0,0,0,0,NA
Nursing Reference Center,EBSCO,Record Views,3,161,141,12,61,91,21,213,115,81,752,162
Nursing Reference Center,EBSCO,Regular Searches,706,2743,2479,364,8261,3564,166,4580,4037,533,4339,3456
Nursing Reference Center,EBSCO,Result Clicks,631,3013,2595,358,8210,3551,228,4854,4386,746,4730,3853
Nursing Reference Center,EBSCO,Searches-federated and automated,0,0,0,0,80,1125,1979,22463,18715,9833,24516,15636
OAIster,EBSCO,Record Views,NA,NA,NA,0,0,2,3,12,5,0,0,0
OAIster,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,0,0,0,0
OAIster,EBSCO,Result Clicks,NA,NA,NA,0,0,12,8,22,16,2,0,0
OAIster,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,1121,1028,3071,2086,384,0,0
OAPEN Library,EBSCO,Record Views,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
OAPEN Library,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
OAPEN Library,EBSCO,Result Clicks,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
OAPEN Library,EBSCO,Searches-federated and automated,NA,NA,NA,0,80,69,0,0,NA,NA,NA,NA
Old Testament Abstracts,EBSCO,Record Views,0,317,204,60,33,151,6,72,144,23,100,50
Old Testament Abstracts,EBSCO,Regular Searches,0,1432,977,491,992,1755,208,996,1056,529,830,430
Old Testament Abstracts,EBSCO,Result Clicks,0,471,345,125,50,222,13,124,257,50,135,95
Old Testament Abstracts,EBSCO,Searches-federated and automated,0,0,3,0,78,1052,4869,22396,18640,9814,24471,15596
Opera in Video,Alexander Street Press,Record Views,0,0,0,14,9,5,2,12,5,5,0,NA
Opera in Video,Alexander Street Press,Regular Searches,0,0,11,23,131,53,12,118,60,64,0,NA
Opera in Video,Alexander Street Press,Result Clicks,0,0,0,5,8,2,1,8,3,4,0,NA
Opera in Video,Alexander Street Press,Searches-federated and automated,0,0,0,0,0,0,0,0,0,0,0,NA
Opposing Viewpoints in Context,EBSCO,Record Views,NA,NA,NA,0,2,1,0,0,NA,NA,NA,NA
Opposing Viewpoints in Context,EBSCO,Regular Searches,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA
Opposing Viewpoints in Context,EBSCO,Result Clicks,NA,NA,NA,0,3,4,0,0,NA,NA,NA,NA
Opposing Viewpoints in Context,EBSCO,Searches-federated and automated,NA,NA,NA,0,81,72,0,0,NA,NA,NA,NA
Ovid MEDLINE(R),U.S. National Library of Medicine,Record Views,NA,NA,17,0,4,4,2,6,4,2,36,NA
