Database,Publisher,User_Activity,2013,2014,2015,2016,2017
British Standards Online,EBSCO,Regular Searches,NA,0,0,NA,NA
British Standards Online,EBSCO,Result Clicks,NA,0,0,NA,NA
British Standards Online,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Business Insights: Essentials,EBSCO,Record Views,NA,0,0,NA,NA
Business Insights: Essentials,EBSCO,Regular Searches,NA,0,0,NA,NA
Business Insights: Essentials,EBSCO,Result Clicks,NA,0,0,NA,NA
Business Insights: Essentials,EBSCO,Searches-federated and automated,NA,80,72,NA,NA
Business Source Complete,EBSCO,Record Views,2180,6752,6003,6859,1435
Business Source Complete,EBSCO,Regular Searches,3429,9138,6370,5630,1198
Business Source Complete,EBSCO,Result Clicks,4408,12621,10796,12973,2733
Business Source Complete,EBSCO,Searches-federated and automated,39,83,28956,53825,15831
Business Source Elite,EBSCO,Record Views,574,841,764,325,2
Business Source Elite,EBSCO,Regular Searches,1609,2289,2926,2250,459
Business Source Elite,EBSCO,Result Clicks,976,1344,1277,528,2
Business Source Elite,EBSCO,Searches-federated and automated,39,3,4981,4,0
Cairn.info,EBSCO,Record Views,NA,0,0,NA,NA
Cairn.info,EBSCO,Regular Searches,NA,0,0,NA,NA
Cairn.info,EBSCO,Result Clicks,NA,0,0,NA,NA
Cairn.info,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Center for Research Libraries,EBSCO,Record Views,NA,0,0,NA,NA
Center for Research Libraries,EBSCO,Regular Searches,NA,0,0,NA,NA
Center for Research Libraries,EBSCO,Result Clicks,NA,0,0,NA,NA
Center for Research Libraries,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
Chicago Manual of Style Online,The University of Chicago Press,Successful Title Requests by Month and Title,1008,492,460,369,40
China Science & Technology Journal Database,EBSCO,Record Views,NA,0,0,NA,NA
China Science & Technology Journal Database,EBSCO,Regular Searches,NA,0,0,NA,NA
China Science & Technology Journal Database,EBSCO,Result Clicks,NA,0,0,NA,NA
China Science & Technology Journal Database,EBSCO,Searches-federated and automated,NA,80,71,NA,NA
China/Asia On Demand,EBSCO,Record Views,NA,0,0,NA,NA
China/Asia On Demand,EBSCO,Regular Searches,NA,0,0,NA,NA
China/Asia On Demand,EBSCO,Result Clicks,NA,0,0,NA,NA
China/Asia On Demand,EBSCO,Searches-federated and automated,NA,80,69,NA,NA
Christian Periodical Index,EBSCO,Record Views,1,12,19,36,9
Christian Periodical Index,EBSCO,Regular Searches,283,2127,2746,2258,408
Christian Periodical Index,EBSCO,Result Clicks,2,17,46,76,15
Christian Periodical Index,EBSCO,Searches-federated and automated,0,83,5228,6637,1234
Chronicle of Higher Education,Chronicle,Pageviews,18500,4658,2051,3871,1031
Chronicle of Higher Education,Chronicle,Searches,591,441,133,244,81
Chronicle of Higher Education,Chronicle,Visitors,977,963,555,885,179
Chronicle of Philanthropy,Chronicle,Pageviews,915,554,393,350,104
Chronicle of Philanthropy,Chronicle,Searches,52,37,36,22,5
Chronicle of Philanthropy,Chronicle,Visitors,154,101,126,93,37
CINAHL,EBSCO,Record Views,14046,14389,NA,NA,NA
CINAHL,EBSCO,Regular Searches,27803,28680,NA,NA,NA
CINAHL,EBSCO,Result Clicks,27725,27711,NA,NA,NA
CINAHL,EBSCO,Searches-federated and automated,39,3,NA,NA,NA
CINAHL Complete,EBSCO,Record Views,0,14251,35573,40943,11659
CINAHL Complete,EBSCO,Regular Searches,0,24286,44372,43021,12866
CINAHL Complete,EBSCO,Result Clicks,0,25770,65331,73598,21710
CINAHL Complete,EBSCO,Searches-federated and automated,0,80,28760,53524,15760
Classical Music Reference Library,Alexander Street Press,Record Views,0,0,16,63,NA
Classical Music Reference Library,Alexander Street Press,Regular Searches,0,25,133,130,NA
Classical Music Reference Library,Alexander Street Press,Result Clicks,0,0,12,23,NA
Classical Music Reference Library,Alexander Street Press,Searches-federated and automated,0,0,0,0,NA
"Classical Scores Library, Volume 1",Alexander Street Press,Record Views,0,77,93,87,NA
"Classical Scores Library, Volume 1",Alexander Street Press,Regular Searches,0,159,149,153,NA
