Database,Publisher,Platform,Notes,Fund,Ordering_Site,Ordering_Cycle,2013,2014,2015,2016,2017
Philosopher's Index,EBSCO,EBSCOhost,,,,Fiscal Year,,,,NA,NA
Philosophers Index with Full Text,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
PhilSci Archive,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Primary Search,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Professional Development Collection,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Project MUSE,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Project MUSE,Johns Hopkins University Press,Project MUSE,,,,Fiscal Year,NA,,,,NA
PsycARTICLES,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
PsycBOOKS,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
PsycCRITIQUES,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
PsycheVisual,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
PsycINFO,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Public Information Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Publications New Zealand Metadata,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Publisher Provided Full Text Searching File,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
R2 Digital Library,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
RACO,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
RAMBI,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
RCAAP,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
ReadEx,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,NA,NA,NA
RECERCAT,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Regional Business News,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Research Starters,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
RILM Abstracts of Music Literature (1967 to Present only),EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
Rivisteweb,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Rock's Backpages,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Roubini Global Economics,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
SA ePublications Service,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
ScholarVox,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
SciELO,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
ScienceDirect,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
SciTech Connect,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Small Engine Repair Reference Center,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
SocINDEX with Full Text,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
SOFIS - Sozialwissenschaftliche Forschungsinformationen,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
SOLIS - Sozialwissenschaftliche Literatur,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Spanish Patient Education,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
SPORTDiscus with Full Text,EBSCO,EBSCOhost,,,,Fiscal Year,NA,NA,NA,,
"Sports Medicine and Exercise Science in Video, Volume 1",Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,,,,,NA
SpringerMaterials,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
SSOAR – Social Science Open Access Repository,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
STAT!Ref,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Supplemental Index,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,,
Swedish National Bibliography,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
SwePub,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
TDX,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
Teacher Reference Center,EBSCO,EBSCOhost,,,,Fiscal Year,,,,,
The Criterion Collection,Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,,,,,NA
The PBS Video Collection,Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,,,,,NA
University Press Scholarship Online,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
USPTO Patent Applications,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
USPTO Patent Grants,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
World Book,EBSCO,EBSCOhost,,,,Fiscal Year,NA,,,NA,NA
World History in Video,Alexander Street Press,Alexander Street Press Platform,,,,Fiscal Year,,,,,NA
